date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:30:08	33/33	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Mar%202022%2011:30:09%20GMT	https://game4ou.xyz/robots.txt		(from )
18:30:08	45279/45279	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Mar%202022%2011:30:10%20GMT	https://game4ou.xyz/fortnitefreeskin168/	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/fortniteskin/game4ou.xyz/fortnitefreeskin168/index.html	(from )
18:30:09	67961/67961	---M-Z	200	added ('OK')	application/javascript	etag:%2242639cce5db857005b8285dedd67553d%22	https://browser.sentry-cdn.com/6.4.1/bundle.min.js	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/fortniteskin/browser.sentry-cdn.com/6.4.1/bundle.min.js	(from https://game4ou.xyz/fortnitefreeskin168/)
18:30:09	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/fortniteskin/www.google-analytics.com/analytics.js	(from https://game4ou.xyz/fortnitefreeskin168/)
18:30:10	102691/102691	---M--	200	added ('OK')	image/jpg	etag:%22a655ada95da7725cd541c35a521ce261%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1605427044c3394080ee2561fa5038769efb5f0dea.jpg	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/fortniteskin/d13pxqgp3ixdbh.cloudfront.net/uploads/1605427044c3394080ee2561fa5038769efb5f0dea.jpg	(from https://game4ou.xyz/fortnitefreeskin168/)
18:30:10	13/13	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Mar%202022%2011:30:12%20GMT	https://game4ou.xyz/fortnitefreeskin168/style.css	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/fortniteskin/game4ou.xyz/fortnitefreeskin168/style.html	(from https://game4ou.xyz/fortnitefreeskin168/)
18:30:10	10580/10580	---M--	200	added ('OK')	image/png	etag:%22cd12a38d16088479de530c1be0a3e457%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/160542714371d28965c9ee03636d7bc2f4ccaa3142.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/fortniteskin/d13pxqgp3ixdbh.cloudfront.net/uploads/160542714371d28965c9ee03636d7bc2f4ccaa3142.png	(from https://game4ou.xyz/fortnitefreeskin168/)
18:30:11	11820/11820	---M--	200	added ('OK')	image/png	etag:%2242b133fd62b0a98d342423ef4fa0eea5%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1605427145ebe70dc6ac94e19912dc6d734ffa17cd.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/fortniteskin/d13pxqgp3ixdbh.cloudfront.net/uploads/1605427145ebe70dc6ac94e19912dc6d734ffa17cd.png	(from https://game4ou.xyz/fortnitefreeskin168/)
18:30:11	17092/17092	---M--	200	added ('OK')	image/png	etag:%2224fa63007c9e5b87ec659538827ec7ef%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1605198014035313f8750beb78e821cd36e4ee628d.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/fortniteskin/d13pxqgp3ixdbh.cloudfront.net/uploads/1605198014035313f8750beb78e821cd36e4ee628d.png	(from https://game4ou.xyz/fortnitefreeskin168/)
18:30:11	18094/18094	---M--	200	added ('OK')	image/png	etag:%224b0fa95e9be373ae57e6521ea98dfcf5%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1605198014adf9ffe4eda0156f09da916c366d22ef.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/fortniteskin/d13pxqgp3ixdbh.cloudfront.net/uploads/1605198014adf9ffe4eda0156f09da916c366d22ef.png	(from https://game4ou.xyz/fortnitefreeskin168/)
